Variables="Points:0","Points:1","Points:2","arc_length","density","machnumber","pressure","temperature","velocity:0","velocity:1","velocity:2","vtkValidPointMask"
-0.014999999664723873138427734375,0,0,0,0.10927374660968780517578125,0.3336794376373291015625,9257.927734375,293.465057373046875,114.91912078857421875,0.0241974480450153350830078125,0,1
-0.0145849995315074920654296875,0,0,0.000415000133216381072998046875,0.1092480719089508056640625,0.3342783451080322265625,9255.0341796875,293.442291259765625,115.12060546875,0.03298382461071014404296875,0,1
-0.014169999398291110992431640625,0,0,0.00083000026643276214599609375,0.10919119417667388916015625,0.335951268672943115234375,9248.1884765625,293.377960205078125,115.683502197265625,0.014740270562469959259033203125,0,1
-0.01375499926507472991943359375,0,0,0.001245000399649143218994140625,0.109098903834819793701171875,0.33850538730621337890625,9237.2607421875,293.2791748046875,116.54216766357421875,0.0460104830563068389892578125,0,1
-0.0133400000631809234619140625,0,0,0.001659999601542949676513671875,0.1089633405208587646484375,0.34212017059326171875,9221.3486328125,293.138153076171875,117.7588043212890625,0.022855378687381744384765625,0,1
-0.012924999929964542388916015625,0,0,0.00207499973475933074951171875,0.1088099181652069091796875,0.3464415967464447021484375,9203.0146484375,292.96783447265625,119.20983123779296875,0.0410016067326068878173828125,0,1
-0.01250999979674816131591796875,0,0,0.002489999867975711822509765625,0.108614020049571990966796875,0.351651012897491455078125,9179.923828125,292.759857177734375,120.9591064453125,0.039874978363513946533203125,0,1
-0.012094999663531780242919921875,0,0,0.0029050000011920928955078125,0.10838539898395538330078125,0.35768222808837890625,9152.931640625,292.514678955078125,122.97850799560546875,0.0503841079771518707275390625,0,1
-0.011679999530315399169921875,0,0,0.003320000134408473968505859375,0.108125507831573486328125,0.3644827902317047119140625,9122.3134765625,292.236907958984375,125.25634002685546875,-0.02835990488529205322265625,0,1
-0.011264999397099018096923828125,0,0,0.00373500026762485504150390625,0.107829086482524871826171875,0.3721034824848175048828125,9087.3671875,291.91748046875,127.80817413330078125,-0.010745133273303508758544921875,0,1
-0.01084999926388263702392578125,0,0,0.004150000400841236114501953125,0.107515938580036163330078125,0.3801290988922119140625,9050.27734375,291.572723388671875,130.4839935302734375,0.063526503741741180419921875,0,1
-0.01043500006198883056640625,0,0,0.004564999602735042572021484375,0.1071716248989105224609375,0.388832390308380126953125,9009.515625,291.191558837890625,133.386322021484375,0.054430179297924041748046875,0,1
-0.010019999928772449493408203125,0,0,0.00497999973595142364501953125,0.106780238449573516845703125,0.3982715904712677001953125,8963.68359375,290.772064208984375,136.5221710205078125,-0.0024889521300792694091796875,0,1
-0.00960499979555606842041015625,0,0,0.005394999869167804718017578125,0.106349743902683258056640625,0.408146440982818603515625,8913.76953125,290.32318115234375,139.7997283935546875,0.002685931511223316192626953125,0,1
-0.009189999662339687347412109375,0,0,0.005810000002384185791015625,0.10589052736759185791015625,0.418850362300872802734375,8860.10546875,289.826629638671875,143.3396759033203125,0.0606799013912677764892578125,0,1
-0.0087749995291233062744140625,0,0,0.006225000135600566864013671875,0.1054011881351470947265625,0.4305055439472198486328125,8802.3466796875,289.273956298828125,147.1810760498046875,0.078637301921844482421875,0,1
-0.008359999395906925201416015625,0,0,0.00664000026881694793701171875,0.104881890118122100830078125,0.442401111125946044921875,8741.5078125,288.69683837890625,151.0951690673828125,0.12774471938610076904296875,0,1
-0.00794499926269054412841796875,0,0,0.007055000402033329010009765625,0.1042848527431488037109375,0.4554028213024139404296875,8672.271484375,288.05035400390625,155.3684844970703125,0.06379453837871551513671875,0,1
-0.0075299995951354503631591796875,0,0,0.0074700000695884227752685546875,0.10359077155590057373046875,0.4697203934192657470703125,8592.646484375,287.31768798828125,160.0539398193359375,0.0410819984972476959228515625,0,1
-0.0071149994619190692901611328125,0,0,0.00788499973714351654052734375,0.102908454835414886474609375,0.484764575958251953125,8512.568359375,286.526763916015625,164.9478607177734375,0.011320569552481174468994140625,0,1
-0.0066999993287026882171630859375,0,0,0.00830000080168247222900390625,0.102035365998744964599609375,0.501975238323211669921875,8413.03125,285.5982666015625,170.5312652587890625,-0.001744387554936110973358154296875,0,1
-0.006284999661147594451904296875,0,0,0.0087150000035762786865234375,0.10112889111042022705078125,0.520214498043060302734375,8308.88671875,284.59112548828125,176.4066162109375,-0.030283011496067047119140625,0,1
-0.00586999952793121337890625,0,0,0.009130000136792659759521484375,0.100127570331096649169921875,0.540157377719879150390625,8193.833984375,283.455169677734375,182.8055267333984375,-0.09143872559070587158203125,0,1
-0.005454999394714832305908203125,0,0,0.00954500027000904083251953125,0.098959557712078094482421875,0.56278121471405029296875,8060.1552734375,282.117095947265625,190.0015869140625,-0.046806417405605316162109375,0,1
-0.0050399997271597385406494140625,0,0,0.0099599994719028472900390625,0.097637869417667388916015625,0.587860405445098876953125,7909.5986328125,280.59033203125,197.9228363037109375,-0.052748240530490875244140625,0,1
-0.0046249995939433574676513671875,0,0,0.010375000536441802978515625,0.09616823494434356689453125,0.615153729915618896484375,7743.14111328125,278.88604736328125,206.4806060791015625,-0.081921331584453582763671875,0,1
